Neighborhood,Id,MSSubClass,MSZoning,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,Heating,HeatingQC,CentralAir,Electrical,KitchenQual,Functional,FireplaceQu,GarageType,GarageFinish,GarageQual,GarageCond,PavedDrive,PoolQC,Fence,MiscFeature,MoSold,SaleType,SaleCondition,FixedLotFrontage,FixedLotArea,FixedMasVnrArea,FixedTotalBsmtSF,Fixed1stFlrSF,Fixed2ndFlrSF,FixedLowQualFinSF,FixedGrLivArea,FixedBsmtFullBath,FixedBsmtHalfBath,FixedFullBath,FixedHalfBath,FixedBedroomAbvGr,FixedKitchenAbvGr,FixedTotRmsAbvGrd,FixedFireplaces,FixedGarageYrBlt,FixedGarageCars,FixedGarageArea,FixedWoodDeckSF,FixedOpenPorchSF,FixedEnclosedPorch,Fixed3SsnPorch,FixedScreenPorch,FixedPoolArea,FixedMiscVal,FixedYrSold,FixedSalePrice,YearsSinceBuilt,YearsSinceRemodel,SafetyScore,BicycleFriendlyScore,WalkabilityScore,SchoolingScore,HouseholdIncomeScore,DesirabilityScore
CollgCr,1,60,RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,GasA,Ex,Y,null,Gd,Typ,NA,Attchd,RFn,TA,TA,Y,NA,NA,NA,2,WD,Normal,65,8450,196,856,856,854,0,1710,1,0,2,1,3,1,8,0,2003,2,548,0,61,0,0,0,0,0,2008,208500,5,5,3,1,1,3,2,3
Veenker,2,20,RL,Pave,NA,Reg,Lvl,AllPub,FR2,Gtl,Feedr,Norm,1Fam,1Story,6,8,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,CBlock,Gd,TA,Gd,GasA,Ex,Y,null,TA,Typ,TA,Attchd,RFn,TA,TA,Y,NA,NA,NA,5,WD,Normal,80,9600,0,1262,1262,0,0,1262,0,1,2,0,3,1,6,1,1976,2,460,298,0,0,0,0,0,0,2007,181500,31,31,1,1,1,2,3,3
CollgCr,3,60,RL,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Mn,GasA,Ex,Y,null,Gd,Typ,TA,Attchd,RFn,TA,TA,Y,NA,NA,NA,9,WD,Normal,68,11250,162,920,920,866,0,1786,1,0,2,1,3,1,6,1,2001,2,608,0,42,0,0,0,0,0,2008,223500,7,6,3,1,1,3,2,3
Crawfor,4,70,RL,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,Wd Sdng,Wd Shng,None,TA,TA,BrkTil,TA,Gd,No,GasA,Gd,Y,null,Gd,Typ,Gd,Detchd,Unf,TA,TA,Y,NA,NA,NA,2,WD,Abnorml,60,9550,0,756,961,756,0,1717,1,0,1,0,3,1,7,1,1998,3,642,0,35,272,0,0,0,0,2006,140000,91,36,2,4,4,4,2,3
NoRidge,5,60,RL,Pave,NA,IR1,Lvl,AllPub,FR2,Gtl,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,Av,GasA,Ex,Y,null,Gd,Typ,TA,Attchd,RFn,TA,TA,Y,NA,NA,NA,12,WD,Normal,84,14260,350,1145,1145,1053,0,2198,1,0,2,1,4,1,9,1,2000,3,836,192,84,0,0,0,0,0,2008,250000,8,8,3,2,1,5,3,3
Mitchel,6,50,RL,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1.5Fin,5,5,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,Wood,Gd,TA,No,GasA,Ex,Y,null,TA,Typ,NA,Attchd,Unf,TA,TA,Y,NA,MnPrv,Shed,10,WD,Normal,85,14115,0,796,796,566,0,1362,1,0,1,1,1,1,5,0,1993,2,480,40,30,0,320,0,0,700,2009,143000,16,14,3,2,1,4,2,2
Somerst,7,20,RL,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,1Story,8,5,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Ex,TA,Av,GasA,Ex,Y,null,Gd,Typ,Gd,Attchd,RFn,TA,TA,Y,NA,NA,NA,8,WD,Normal,75,10084,186,1686,1694,0,0,1694,1,0,2,0,3,1,7,1,2004,2,636,255,57,0,0,0,0,0,2007,307000,3,2,2,2,1,5,3,3
NWAmes,8,60,RL,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,PosN,Norm,1Fam,2Story,7,6,Gable,CompShg,HdBoard,HdBoard,Stone,TA,TA,CBlock,Gd,TA,Mn,GasA,Ex,Y,null,TA,Typ,TA,Attchd,RFn,TA,TA,Y,NA,NA,Shed,11,WD,Normal,69,10382,240,1107,1107,983,0,2090,1,0,2,1,3,1,7,2,1973,2,484,235,204,228,0,0,0,350,2009,200000,36,36,3,2,1,1,3,3
OldTown,9,50,RM,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Artery,Norm,1Fam,1.5Fin,7,5,Gable,CompShg,BrkFace,Wd Shng,None,TA,TA,BrkTil,TA,TA,No,GasA,Gd,Y,null,TA,Min1,TA,Detchd,Unf,Fa,TA,Y,NA,NA,NA,4,WD,Abnorml,51,6120,0,952,1022,752,0,1774,0,0,2,0,2,2,8,2,1931,2,468,90,0,205,0,0,0,0,2008,129900,77,58,1,4,2,4,2,1
BrkSide,10,190,RL,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,Artery,Artery,2fmCon,1.5Unf,5,6,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,BrkTil,TA,TA,No,GasA,Ex,Y,null,TA,Typ,TA,Attchd,RFn,Gd,TA,Y,NA,NA,NA,1,WD,Normal,50,7420,0,991,1077,0,0,1077,1,0,1,0,2,2,5,2,1939,1,205,0,4,0,0,0,0,0,2008,118000,69,58,3,4,2,4,3,2
